Airbags_Deployed,LossCause_Fire,LossCause_InsuredHitTP,LossCause_MechanicalFailure,LossCause_Other,LossCause_TPHitInsured,LossCause_Theft,LossCause_Weather,VehicleType_C,VehicleType_M,VehicleType_V,ReportingDelay,Age,Damage_Front,Damage_Rear,Damage_Left,Damage_Right,TOTAL_LOSS
0,0,1,0,0,0,0,0,1,0,0,30,27.0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,138,10.0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,2,30.0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,359,14.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,12.0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,0,4.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,25,23.0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,1,0,235,7.0,0,1,1,1,1
0,0,1,0,0,0,0,0,1,0,0,51,-1.0,0,0,1,0,0
1,0,0,0,1,0,0,0,1,0,0,10,7.0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,0,-1.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,5.0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,202,12.0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1,15.0,1,0,1,1,1
0,0,1,0,0,0,0,0,1,0,0,5,17.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,287,9.0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,21.0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,1,0,0,11.0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,142,6.0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,-1.0,0,0,1,0,0
0,0,1,0,0,0,0,0,1,0,0,23,7.0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,4,2.0,1,0,1,1,1
0,0,1,0,0,0,0,0,1,0,0,14,10.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,12,11.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,6,6.0,1,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,33,8.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,1,3.0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,4,6.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,25,21.0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,4,19.0,1,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,14.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,312,15.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,677,-1.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,2,6.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,13,4.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,-1.0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,129,8.0,1,0,1,0,1
0,0,0,0,0,1,0,0,1,0,0,46,13.0,0,1,1,0,1
0,0,1,0,0,0,0,0,1,0,0,8,7.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,2.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,6,10.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,2,-1.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,7,1.0,0,1,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,2.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1,13.0,1,1,1,0,1
